Name of the Sidra,Beginning of 1. Aliya,End of 1. Aliya,Beginning of 2. Aliya,End of 2. Aliya,Beginning of 3. Aliya,End of 3. Aliya,Beginning of 4. Aliya,End of 4. Aliya,Beginning of 5. Aliya,End of 5. Aliya,Beginning of 6. Aliya,End of 6. Aliya,Beginning of 7. Aliya,End of 7. Aliya,Haftara,comment
ויקרא 1,Leviticus 1:1,Leviticus 1:9,Leviticus 1:10,Leviticus 1:13,Leviticus 1:14,Leviticus 1:17,Leviticus 2:1,Leviticus 2:10,Leviticus 2:11,Leviticus 2:16,Leviticus 3:1,Leviticus 3:5,Leviticus 3:6,Leviticus 3:17,,
ויקרא 2,Leviticus 4:1,Leviticus 4:12,Leviticus 4:13,Leviticus 4:26,Leviticus 4:27,Leviticus 4:35,Leviticus 5:1,Leviticus 5:13,Leviticus 5:14,Leviticus 5:16,Leviticus 5:17,Leviticus 5:26,Leviticus 6:1,Leviticus 6:11,,
ויקרא 3,Leviticus 6:12,Leviticus 6:16,Leviticus 6:17,Leviticus 6:23,Leviticus 7:1,Leviticus 7:10,Leviticus 7:11,Leviticus 7:18,Leviticus 7:19,Leviticus 7:27,Leviticus 7:28,Leviticus 7:34,Leviticus 7:35,Leviticus 7:38,,
ויקרא 4,Leviticus 8:1,Leviticus 8:13,Leviticus 8:14,Leviticus 8:21,Leviticus 8:22,Leviticus 8:29,Leviticus 8:30,Leviticus 8:36,Leviticus 9:1,Leviticus 9:7,Leviticus 9:8,Leviticus 9:16,Leviticus 9:17,Leviticus 9:24,,
ויקרא 5,Leviticus 10:1,Leviticus 10:3,Leviticus 10:4,Leviticus 10:7,Leviticus 10:8,Leviticus 10:11,Leviticus 10:12,Leviticus 10:14,Leviticus 10:15,Leviticus 10:17,Leviticus 10:18,Leviticus 10:20,Leviticus 10:18,Leviticus 10:20,,
ויקרא 6,Leviticus 11:1,Leviticus 11:8,Leviticus 11:9,Leviticus 11:12,Leviticus 11:13,Leviticus 11:19,Leviticus 11:20,Leviticus 11:23,Leviticus 11:24,Leviticus 11:28,Leviticus 11:29,Leviticus 11:38,Leviticus 11:39,Leviticus 11:47,,
ויקרא 7,Leviticus 12:1,Leviticus 12:8,Leviticus 13:1,Leviticus 13:3,Leviticus 13:4,Leviticus 13:8,Leviticus 13:9,Leviticus 13:11,Leviticus 13:12,Leviticus 13:17,Leviticus 13:18,Leviticus 13:23,Leviticus 13:24,Leviticus 13:28,,
ויקרא 8,Leviticus 13:29,Leviticus 13:31,Leviticus 13:32,Leviticus 13:34,Leviticus 13:35,Leviticus 13:39,Leviticus 13:40,Leviticus 13:46,Leviticus 13:47,Leviticus 13:49,Leviticus 13:50,Leviticus 13:55,Leviticus 13:56,Leviticus 13:59,,
ויקרא 9,Leviticus 14:1,Leviticus 14:3,Leviticus 14:4,Leviticus 14:8,Leviticus 14:9,Leviticus 14:13,Leviticus 14:14,Leviticus 14:16,Leviticus 14:17,Leviticus 14:20,Leviticus 14:21,Leviticus 14:24,Leviticus 14:25,Leviticus 14:32,,
ויקרא 10,Leviticus 14:33,Leviticus 14:35,Leviticus 14:36,Leviticus 14:38,Leviticus 14:39,Leviticus 14:42,Leviticus 14:43,Leviticus 14:45,Leviticus 14:46,Leviticus 14:48,Leviticus 14:49,Leviticus 14:52,Leviticus 14:53,Leviticus 14:57,,
ויקרא 11,Leviticus 15:1,Leviticus 15:5,Leviticus 15:6,Leviticus 15:8,Leviticus 15:9,Leviticus 15:12,Leviticus 15:13,Leviticus 15:15,Leviticus 15:16,Leviticus 15:18,Leviticus 15:19,Leviticus 15:24,Leviticus 15:25,Leviticus 15:33,,
ויקרא 12,Leviticus 16:1,Leviticus 16:6,Leviticus 16:7,Leviticus 16:13,Leviticus 16:14,Leviticus 16:17,Leviticus 16:18,Leviticus 16:22,Leviticus 16:13,Leviticus 16:17,Leviticus 16:18,Leviticus 16:28,Leviticus 16:29,Leviticus 16:34,,
ויקרא 13,Leviticus 17:1,Leviticus 17:4,Leviticus 17:4,Leviticus 17:6,Leviticus 17:7,Leviticus 17:9,Leviticus 17:10,Leviticus 17:12,Leviticus 17:13,Leviticus 17:15,Leviticus 17:14,Leviticus 17:17,Leviticus 17:14,Leviticus 17:17,,
ויקרא 14,Leviticus 18:1,Leviticus 18:5,Leviticus 18:6,Leviticus 18:10,Leviticus 18:11,Leviticus 18:16,Leviticus 18:17,Leviticus 18:20,Leviticus 18:21,Leviticus 18:23,Leviticus 18:24,Leviticus 18:26,Leviticus 18:28,Leviticus 18:30,,
ויקרא 15,Leviticus 19:1,Leviticus 19:3,Leviticus 19:4,Leviticus 19:8,Leviticus 19:9,Leviticus 19:11,Leviticus 19:12,Leviticus 19:15,Leviticus 19:16,Leviticus 19:18,Leviticus 19:19,Leviticus 19:22,Leviticus 19:19,Leviticus 19:22,,
ויקרא 16,Leviticus 21:1,Leviticus 21:5,Leviticus 21:6,Leviticus 21:9,Leviticus 21:10,Leviticus 21:15,Leviticus 21:15,Leviticus 21:24,Leviticus 22:1,Leviticus 22:3,Leviticus 22:4,Leviticus 22:9,Leviticus 22:10,Leviticus 22:17,,
ויקרא 17,Leviticus 22:17,Leviticus 22:20,Leviticus 22:21,Leviticus 22:25,Leviticus 22:26,Leviticus 22:33,Leviticus 23:1,Leviticus 23:4,Leviticus 23:5,Leviticus 23:8,Leviticus 23:9,Leviticus 23:11,Leviticus 23:12,Leviticus 23:14,,
ויקרא 18,Leviticus 23:15,Leviticus 23:22,Leviticus 23:23,Leviticus 23:25,Leviticus 23:26,Leviticus 23:32,Leviticus 23:33,Leviticus 23:44,Leviticus 24:1,Leviticus 24:4,Leviticus 24:5,Leviticus 24:9,Leviticus 24:13,Leviticus 24:23,,
ויקרא 19,Leviticus 25:1,Leviticus 25:7,Leviticus 25:8,Leviticus 25:13,Leviticus 25:14,Leviticus 25:18,Leviticus 25:19,Leviticus 25:24,Leviticus 25:25,Leviticus 25:28,Leviticus 25:29,Leviticus 25:31,Leviticus 25:32,Leviticus 25:34,,
ויקרא 20,Leviticus 25:35,Leviticus 25:38,Leviticus 25:39,Leviticus 25:43,Leviticus 25:44,Leviticus 25:46,Leviticus 25:47,Leviticus 25:49,Leviticus 25:50,Leviticus 25:54,Leviticus 25:55,Leviticus 26:2,Leviticus,Leviticus,,
ויקרא 21,Leviticus 26:3,Leviticus 26:5,Leviticus 26:6,Leviticus 26:10,Leviticus 26:11,Leviticus 26:13,Leviticus 26:14,Leviticus 26:38,Leviticus 26:39,Leviticus 26:41,Leviticus 26:42,Leviticus 26:44,Leviticus 26:44,Leviticus 26:46,,
ויקרא 22,Leviticus 27:1,Leviticus 27:4,Leviticus 27:5,Leviticus 27:8,Leviticus 27:9,Leviticus 27:13,Leviticus 27:14,Leviticus 27:24,Leviticus 27:25,Leviticus 27:27,Leviticus 27:28,Leviticus 27:31,Leviticus 27:32,Leviticus 27:34,,
פסח א,Leviticus 28:1,,,,,,,,,Leviticus 23:14,,,,,,
פסח ב,Deuteronomy 15:19,,,,,,,Deutoronomy 16:8,,,,,,,,
פסח ג,Exodus 13:1,,,,,,,Exodus 13:17,,,,,,,,
פסח ד,Exodus 22:24,,,,,,,Exodus 23:19,,,,,,,,
פסח ה,Exodus 34:1,,,,,,,Exodus 34:26,,,,,,,,
פסח ו,Numeri 9:1,,,,,,,Numeri 9:14,,,,,,,,
פסח ז,Exodus 13:17,,,,,,,Exodus 15:26,,,,,,,,
ראש חודש,Numeri 28:1,,,,,,,Numeri 28:15,,,,,,,,
יום גאולת ירושלים,Deuteronomy 12:1,,,,,Deuteronomy 12:12,,,,,,,,,,
שבועות,Deuteronomy 16:9,,,,,,,,,Deuteronomy 17:20,,,,,,
צום תמוז,Exodus 32:11,,,,,Exodus 32:35,,,,,,,,,,
צום אב,Leviticus 26:14,,,,,Leviticus 26:46,,,,,,,,,,
ראש חודש שחל להיות בשכת,Numeri 28:1,,,,,,,Numeri 28:15,,,,,,,,
ראש השנה א,Genesis 21:1,,,,,,,,,Genesis 21:34,,,,,,
ראש השנה ב,Leviticus 23:23,,,,,,,,,Leviticus 23:25,,,,,,
צום גדליה,Exodus 32:11,,,,,Exodus 32:35,,,,,,,,,,
יום הכיפורים,Leviticus 16:1,,,,,,,,,,,Leviticus 16:34,,,,
סוכות א,Leviticus 23:33,,,,,,,Leviticus 34:9,,,,,,,,
סוכות ב,Numeri 29:17,,,,,,,Numeri 29:19,,,,,,,,
סוכות ג,Numeri 29:20,,,,,,,Numeri 29:22,,,,,,,,
סוכות ד,Numeri 29:23,,,,,,,Numeri 29:25,,,,,,,,
סוכות ה,Numeri 29:26,,,,,,,Numeri 29:28,,,,,,,,
סוכות ו,Numeri 29:29,,,,,,,Numeri 29:31,,,,,,,,
סוכות ד,Numeri 29:32,,,,,,,Numeri 29:34,,,,,,,,
שמיני עצרת,Numeri 29:35,,,,,,,,,Numeri 30:1,,,,,,
שקלים,Exodus 30:11,,,,,,,,,,,,,Exodus 30:38,,
זכור,Deuteronomy 25:17,,,,,,,,,,,,,Deuteronomy 27:3,Samuel I 15:2-34,
פרה,Numeri 19:1,,,,,,,,,,,,,Numeri 19:22,Ezekiel 36: 16-36,
החודש,Exodus 12:1,,,,,,,,,,,,,Exodus 12:28,Ezekiel 45:18-46:16,
קללות שבמשנה תורה,Deuteronomy 28:1,,,,,,,,,,,,,Deuteronomy 28:68,,
קללות שבתורת כהנים,Leviticus 26:3,,,,,,,,,,,,,Leviticus 26:46,,
